標題,發布日期,新聞連結
陳華穿彩虹熊聯名T自嘲「脾氣火爆」！被問新戀情只求「幫我拍好看點」,"Sat,08 Jun 2024 02:46:00  +0800",https://fashion.ettoday.net/news/2754372
19歲青年溺水狂喊救我 「拍攝者不救」還問：你累了嗎,"Sat,08 Jun 2024 02:43:00  +0800",https://www.ettoday.net/news/20240608/2754446.htm
輝達研發中心傳落腳南港 潤泰新：無法回應傳聞,"Sat,08 Jun 2024 02:12:00  +0800",https://house.ettoday.net/news/2754445
龍華科大舞獅戰鼓團 賀「毛焦點」進駐桃園青創基地,"Sat,08 Jun 2024 02:10:00  +0800",https://www.ettoday.net/news/20240608/2754427.htm
「夜光龍」降臨壽山巖觀音寺 桃園閩南文化節國際龍獅競賽9日登場,"Sat,08 Jun 2024 02:09:00  +0800",https://www.ettoday.net/news/20240608/2754425.htm
社造進駐南崁高中 培力「學生播客」發現在地故事,"Sat,08 Jun 2024 02:06:00  +0800",https://www.ettoday.net/news/20240608/2754421.htm
桃園虛擬運動委員會啟動 議長邱奕勝接任主委,"Sat,08 Jun 2024 02:05:00  +0800",https://www.ettoday.net/news/20240608/2754424.htm
推廣黑毛豬料理！ 首屆桃園「脆皮燒肉節」6／10起報名,"Sat,08 Jun 2024 02:04:00  +0800",https://www.ettoday.net/news/20240608/2754418.htm
暨大開設微型創業提案課 讓學生爬上樹頂學習創業家精神,"Sat,08 Jun 2024 02:02:00  +0800",https://www.ettoday.net/news/20240608/2754377.htm
特斯拉中國上線百度地圖 5月銷量逆勢暴增77%,"Sat,08 Jun 2024 01:54:00  +0800",https://www.ettoday.net/news/20240608/2754439.htm
基隆潮境公園山崩！ 東北角端午連假「替代道路一次看」,"Sat,08 Jun 2024 01:52:00  +0800",https://www.ettoday.net/news/20240608/2754443.htm
妹子闖非洲工作「2年賺224萬」 吐辛酸血淚：勇敢的人先享受世界,"Sat,08 Jun 2024 01:47:00  +0800",https://www.ettoday.net/news/20240608/2754442.htm
中國海警船駛入釣魚台海域 日本官房長官：透過外交途徑強烈抗議,"Sat,08 Jun 2024 01:46:00  +0800",https://www.ettoday.net/news/20240608/2754440.htm
黃仁勳發蘋果西打也沒用 大西洋飲料公司再爆「欠薪」恐下市,"Sat,08 Jun 2024 01:41:00  +0800",https://www.ettoday.net/news/20240608/2754441.htm
洗碗精「殘留碗盤」恐損害腸胃道！ 醫教8招徹底洗淨,"Sat,08 Jun 2024 01:36:00  +0800",https://www.ettoday.net/news/20240608/2754438.htm
印度校長家訪性侵15歲女學生 抬頭見「手機錄影」驚嚇表情瘋傳,"Sat,08 Jun 2024 01:31:00  +0800",https://www.ettoday.net/news/20240608/2754415.htm
小米SU7衝出停車場致1死3傷 小米「否認失控」交數據報告,"Sat,08 Jun 2024 01:30:00  +0800",https://speed.ettoday.net/news/2754437
《新世紀福音戰士》動畫製作公司GAINAX正式宣布破產,"Sat,08 Jun 2024 01:24:00  +0800",https://www.ettoday.net/news/20240608/2754436.htm
聖母峰成垃圾場！尼泊爾軍方「清出11噸垃圾」 還有200具遺體待領,"Sat,08 Jun 2024 01:18:00  +0800",https://www.ettoday.net/news/20240608/2754435.htm
7手搖飲驗出「大腸桿菌超標」最高達530倍 清心、可不可皆被點名,"Sat,08 Jun 2024 01:18:00  +0800",https://www.ettoday.net/news/20240608/2754432.htm
每天都好累？5招教你改善「易疲勞體質」 多喝水也可以,"Sat,08 Jun 2024 01:11:00  +0800",https://fashion.ettoday.net/news/2754307
雲林鐵皮工廠深夜大火！急調堆高機破門 屋主也疑惑起火原因,"Sat,08 Jun 2024 01:03:00  +0800",https://www.ettoday.net/news/20240608/2754423.htm
《藍色監獄》劇場版7月在台上映 全新視角見證足球天才覺醒,"Sat,08 Jun 2024 00:22:00  +0800",https://game.ettoday.net/article/2752064.htm
端午桃園2免費活動！台茂400秒無人機秀 穿越巨型茅之輪淨化身心,"Sat,08 Jun 2024 00:05:00  +0800",https://travel.ettoday.net/article/2753670.htm
快訊／黃仁勳結束台灣最後一站 離開北市信義區ONCOR,"Fri,07 Jun 2024 23:54:00  +0800",https://www.ettoday.net/news/20240607/2754428.htm
埃及示警以色列與哈瑪斯：錯過拜登新停火協議 不利戰爭未來發展,"Fri,07 Jun 2024 23:37:00  +0800",https://www.ettoday.net/news/20240607/2754419.htm
「鐵」圖冠軍賽G1又來了！ 綠衫軍照樣季後賽狂勝,"Fri,07 Jun 2024 23:35:00  +0800",https://sports.ettoday.net/news/2754355
玉山盃／呂泳鋐扛台南市第1棒有腳程優勢 投入選秀想跟上郭天信,"Fri,07 Jun 2024 23:33:00  +0800",https://sports.ettoday.net/news/2754407
蔡阿嘎發文吐心聲！感嘆「人要抱持善良」眾人秒懂：最後一句好噹,"Fri,07 Jun 2024 23:26:00  +0800",https://star.ettoday.net/news/2754420
黃仁勳力挺台灣 唱衰台灣終將踢到鐵板,"Fri,07 Jun 2024 23:24:00  +0800",https://forum.ettoday.net/news/2753833
不斷更新／韓星活動6月售票看這裡！ SUPER JUNIOR緊急加場,"Fri,07 Jun 2024 23:15:00  +0800",https://star.ettoday.net/news/2748574
BMW「3／4系列」升級版！Alpina推新款GT車型 外觀動力都更殺,"Fri,07 Jun 2024 23:14:00  +0800",https://speed.ettoday.net/news/2754414
黃仁勳喊「台灣是重要國家」 陸媒點名了：應給大陸同胞一個說法,"Fri,07 Jun 2024 23:13:00  +0800",https://www.ettoday.net/news/20240607/2754410.htm
拜登首度為「軍援延宕」向烏克蘭道歉 宣布再增援基輔72.9億,"Fri,07 Jun 2024 23:06:00  +0800",https://www.ettoday.net/news/20240607/2754412.htm
647萬用戶注意！台新系統暫停服務 街口「街利存」也停機一整天,"Fri,07 Jun 2024 23:00:00  +0800",https://finance.ettoday.net/news/2754376
黃宣《歌手》「救場主持太強」登熱搜！ 陸網狂讚：淘汰也別讓他走,"Fri,07 Jun 2024 22:54:00  +0800",https://star.ettoday.net/news/2754411
提升災害搜救能量 基隆消防局將成立搜救犬隊,"Fri,07 Jun 2024 22:50:00  +0800",https://www.ettoday.net/news/20240607/2754408.htm
快訊／5縣市再發豪大雨特報！雨下不停 最新警戒區域曝,"Fri,07 Jun 2024 22:39:00  +0800",https://www.ettoday.net/news/20240607/2754409.htm
Paul曬「有頭髮＋白西裝」年輕舊照 高顏值掀驚呼：以為韓星！,"Fri,07 Jun 2024 22:39:00  +0800",https://star.ettoday.net/news/2754392
紅海危機後貨櫃造價漲三到四成 但跑一趟歐美即可賺回造價,"Fri,07 Jun 2024 22:33:00  +0800",https://finance.ettoday.net/news/2754368
手刀搶報！2024新北濕地夏令營6／11開放報名,"Fri,07 Jun 2024 22:32:00  +0800",https://www.ettoday.net/news/20240607/2754406.htm
新莊地藏庵文武大眾爺祭典 劉和然祈求市民平安健康,"Fri,07 Jun 2024 22:26:00  +0800",https://www.ettoday.net/news/20240607/2754405.htm
劉基鴻開轟猛打賞 味全龍13比2踢館統一獅,"Fri,07 Jun 2024 22:26:00  +0800",https://sports.ettoday.net/news/2754404
小開涉金錢糾紛！行口遭球棒隊闖入狂砸 彰警火速逮3惡男,"Fri,07 Jun 2024 22:26:00  +0800",https://www.ettoday.net/news/20240607/2754399.htm
快訊／雲林西螺塑膠工廠「內部全面燃燒」 警消出動9車18人灌救,"Fri,07 Jun 2024 22:24:00  +0800",https://www.ettoday.net/news/20240607/2754403.htm
輝達一家親 明牌報你知,"Fri,07 Jun 2024 22:24:00  +0800",https://finance.ettoday.net/news/2753944
台驊控股5月營收年增75%、月增9% 創2023年起單月新高,"Fri,07 Jun 2024 22:23:00  +0800",https://finance.ettoday.net/news/2754400
新北仁愛之家溫馨過端午 辦桌邀長輩聽歌看表演,"Fri,07 Jun 2024 22:20:00  +0800",https://www.ettoday.net/news/20240607/2754402.htm
新北提前慶祝警察節 侯友宜盼員額擴充分擔壓力,"Fri,07 Jun 2024 22:12:00  +0800",https://www.ettoday.net/news/20240607/2754398.htm
王柏融強勢歸隊領小鷹猛打秀 打擊大混戰台鋼12比8勝兄弟,"Fri,07 Jun 2024 22:10:00  +0800",https://sports.ettoday.net/news/2754397
